"","X","Date","diff","Team","Rk"
"733",733,"Sun, Dec 8, 2013",41,"New York Knicks",7
"734",734,"Tue, Dec 10, 2013",-8,"Brooklyn Nets",12
"735",735,"Sun, Dec 22, 2013",-27,"Indiana Pacers",9
"736",736,"Thu, Jan 2, 2014",-12,"Chicago Bulls",14
"737",737,"Sun, Jan 5, 2014",-23,"Oklahoma City Thunder",1
"738",738,"Tue, Jan 7, 2014",-31,"Denver Nuggets",5
"739",739,"Wed, Jan 8, 2014",-6,"Los Angeles Clippers",4
"740",740,"Fri, Jan 10, 2014",-2,"Golden State Warriors",11
"741",741,"Sat, Jan 11, 2014",-8,"Portland Trail Blazers",21
"742",742,"Sun, Jan 19, 2014",-2,"Orlando Magic",29
"743",743,"Tue, Jan 21, 2014",-7,"Miami Heat",2
"744",744,"Wed, Jan 22, 2014",2,"Washington Wizards",22
"745",745,"Tue, Jan 28, 2014",-26,"New York Knicks",7
"746",746,"Wed, Feb 5, 2014",6,"Philadelphia 76ers",24
"747",747,"Mon, Feb 10, 2014",16,"Milwaukee Bucks",20
"748",748,"Wed, Feb 19, 2014",-6,"Phoenix Suns",28
"749",749,"Fri, Feb 21, 2014",-9,"Los Angeles Lakers",10
"750",750,"Sat, Feb 22, 2014",-7,"Sacramento Kings",25
"751",751,"Mon, Feb 24, 2014",-12,"Utah Jazz",13
"752",752,"Tue, Mar 11, 2014",-11,"Indiana Pacers",9
"754",754,"Mon, Mar 17, 2014",-5,"Dallas Mavericks",15
"755",755,"Fri, Mar 21, 2014",-16,"Brooklyn Nets",12
"756",756,"Fri, Mar 28, 2014",-2,"Toronto Raptors",18
"757",757,"Mon, Mar 31, 2014",-14,"Chicago Bulls",14
"758",758,"Wed, Apr 2, 2014",-26,"Washington Wizards",22
"759",759,"Sat, Apr 5, 2014",-4,"Detroit Pistons",26
"760",760,"Wed, Apr 9, 2014",-8,"Atlanta Hawks",16
"761",761,"Sat, Apr 12, 2014",12,"Cleveland Cavaliers",27
"762",762,"Mon, Apr 14, 2014",-5,"Philadelphia 76ers",24
"763",763,"Fri, Nov 1, 2013",-7,"Milwaukee Bucks",20
"764",764,"Wed, Nov 6, 2013",10,"Utah Jazz",13
"765",765,"Mon, Nov 11, 2013",15,"Orlando Magic",29
"766",766,"Wed, Nov 13, 2013",-6,"Charlotte Bobcats",30
"767",767,"Fri, Nov 15, 2013",-13,"Portland Trail Blazers",21
"768",768,"Fri, Nov 22, 2013",-15,"Indiana Pacers",9
"769",769,"Wed, Nov 27, 2013",-7,"Memphis Grizzlies",6
"770",770,"Fri, Nov 29, 2013",17,"Cleveland Cavaliers",27
"771",771,"Tue, Dec 3, 2013",8,"Milwaukee Bucks",20
"772",772,"Fri, Dec 6, 2013",8,"Denver Nuggets",5
"773",773,"Wed, Dec 11, 2013",-8,"Los Angeles Clippers",4
"774",774,"Fri, Dec 13, 2013",4,"New York Knicks",7
"775",775,"Mon, Dec 16, 2013",4,"Minnesota Timberwolves",19
"776",776,"Wed, Dec 18, 2013",-1,"Detroit Pistons",26
"777",777,"Sat, Dec 21, 2013",-7,"Washington Wizards",22
"778",778,"Sat, Dec 28, 2013",3,"Cleveland Cavaliers",27
"779",779,"Tue, Dec 31, 2013",-1,"Atlanta Hawks",16
"781",781,"Mon, Jan 13, 2014",-12,"Houston Rockets",8
"782",782,"Wed, Jan 15, 2014",5,"Toronto Raptors",18
"783",783,"Fri, Jan 17, 2014",-3,"Los Angeles Lakers",10
"784",784,"Fri, Jan 24, 2014",-18,"Oklahoma City Thunder",1
"785",785,"Sun, Jan 26, 2014",-6,"Brooklyn Nets",12
"786",786,"Wed, Jan 29, 2014",-1,"Philadelphia 76ers",24
"787",787,"Sun, Feb 2, 2014",7,"Orlando Magic",29
"788",788,"Fri, Feb 7, 2014",10,"Sacramento Kings",25
"789",789,"Sun, Feb 9, 2014",-11,"Dallas Mavericks",15
"790",790,"Wed, Feb 12, 2014",-12,"San Antonio Spurs",3
"791",791,"Wed, Feb 26, 2014",11,"Atlanta Hawks",16
"792",792,"Sat, Mar 1, 2014",-5,"Indiana Pacers",9
"793",793,"Wed, Mar 5, 2014",-20,"Golden State Warriors",11
"794",794,"Fri, Mar 7, 2014",7,"Brooklyn Nets",12
"795",795,"Sun, Mar 9, 2014",7,"Detroit Pistons",26
"796",796,"Wed, Mar 12, 2014",-24,"New York Knicks",7
"797",797,"Fri, Mar 14, 2014",-7,"Phoenix Suns",28
"798",798,"Wed, Mar 19, 2014",5,"Miami Heat",2
"799",799,"Wed, Mar 26, 2014",-9,"Toronto Raptors",18
"800",800,"Sun, Mar 30, 2014",-5,"Chicago Bulls",14
"801",801,"Fri, Apr 4, 2014",-9,"Philadelphia 76ers",24
"802",802,"Fri, Apr 11, 2014",3,"Charlotte Bobcats",30
"803",803,"Wed, Apr 16, 2014",-16,"Washington Wizards",22
"804",804,"Sat, Nov 1, 2014",-14,"Houston Rockets",5
"805",805,"Mon, Nov 3, 2014",-5,"Dallas Mavericks",9
"806",806,"Sat, Nov 8, 2014",5,"Chicago Bulls",14
"807",807,"Wed, Nov 19, 2014",11,"Philadelphia 76ers",30
"808",808,"Fri, Nov 21, 2014",-17,"Memphis Grizzlies",13
"809",809,"Tue, Dec 2, 2014",-4,"Atlanta Hawks",16
"810",810,"Mon, Dec 8, 2014",-1,"Washington Wizards",15
"812",812,"Mon, Dec 15, 2014",18,"Philadelphia 76ers",30
"813",813,"Sun, Dec 21, 2014",-16,"Miami Heat",6
"814",814,"Tue, Dec 23, 2014",-5,"Orlando Magic",27
"815",815,"Sat, Dec 27, 2014",-13,"Washington Wizards",15
"816",816,"Sat, Jan 3, 2015",-5,"Chicago Bulls",14
"817",817,"Wed, Jan 7, 2015",8,"Brooklyn Nets",20
"818",818,"Fri, Jan 9, 2015",-4,"Indiana Pacers",8
"819",819,"Sat, Jan 10, 2015",-13,"Toronto Raptors",12
"820",820,"Mon, Jan 19, 2015",-9,"Los Angeles Clippers",2
"821",821,"Thu, Jan 22, 2015",1,"Portland Trail Blazers",7
"822",822,"Fri, Jan 23, 2015",1,"Denver Nuggets",19
"823",823,"Sun, Jan 25, 2015",-3,"Golden State Warriors",4
"824",824,"Mon, Jan 26, 2015",9,"Utah Jazz",28
"825",825,"Wed, Jan 28, 2015",-12,"Minnesota Timberwolves",10
"826",826,"Tue, Feb 3, 2015",11,"New York Knicks",18
"827",827,"Sat, Feb 7, 2015",-3,"Milwaukee Bucks",29
"828",828,"Fri, Feb 20, 2015",-8,"Sacramento Kings",22
"829",829,"Sun, Feb 22, 2015",-7,"Los Angeles Lakers",25
"830",830,"Mon, Feb 23, 2015",5,"Phoenix Suns",11
"831",831,"Tue, Mar 3, 2015",-31,"Cleveland Cavaliers",23
"832",832,"Fri, Mar 6, 2015",6,"New Orleans Pelicans",21
"833",833,"Sun, Mar 8, 2015",-5,"Orlando Magic",27
"834",834,"Mon, Mar 9, 2015",10,"Miami Heat",6
"835",835,"Sat, Mar 14, 2015",4,"Indiana Pacers",8
"836",836,"Wed, Mar 18, 2015",-4,"Oklahoma City Thunder",3
"837",837,"Fri, Mar 20, 2015",-12,"San Antonio Spurs",1
"838",838,"Mon, Mar 23, 2015",19,"Brooklyn Nets",20
"839",839,"Fri, Mar 27, 2015",4,"New York Knicks",18
"841",841,"Sat, Apr 4, 2015",1,"Toronto Raptors",12
"842",842,"Wed, Apr 8, 2015",10,"Detroit Pistons",24
"843",843,"Fri, Apr 10, 2015",9,"Cleveland Cavaliers",23
"844",844,"Wed, Apr 15, 2015",5,"Milwaukee Bucks",29
"845",845,"Wed, Oct 29, 2014",16,"Brooklyn Nets",20
"846",846,"Wed, Nov 5, 2014",-3,"Toronto Raptors",12
"847",847,"Fri, Nov 7, 2014",3,"Indiana Pacers",8
"848",848,"Wed, Nov 12, 2014",-15,"Oklahoma City Thunder",3
"849",849,"Fri, Nov 14, 2014",-1,"Cleveland Cavaliers",23
"850",850,"Mon, Nov 17, 2014",-4,"Phoenix Suns",11
"851",851,"Sun, Nov 23, 2014",-6,"Portland Trail Blazers",7
"852",852,"Fri, Nov 28, 2014",-7,"Chicago Bulls",14
"853",853,"Sun, Nov 30, 2014",-22,"San Antonio Spurs",1
"854",854,"Wed, Dec 3, 2014",7,"Detroit Pistons",24
"855",855,"Fri, Dec 5, 2014",17,"Los Angeles Lakers",25
"856",856,"Sun, Dec 7, 2014",8,"Washington Wizards",15
"857",857,"Fri, Dec 12, 2014",-6,"New York Knicks",18
"858",858,"Wed, Dec 17, 2014",17,"Orlando Magic",27
"859",859,"Fri, Dec 19, 2014",16,"Minnesota Timberwolves",10
"860",860,"Fri, Dec 26, 2014",-2,"Brooklyn Nets",20
"861",861,"Wed, Dec 31, 2014",22,"Sacramento Kings",22
"862",862,"Fri, Jan 2, 2015",-18,"Dallas Mavericks",9
"864",864,"Mon, Jan 12, 2015",8,"New Orleans Pelicans",21
"865",865,"Wed, Jan 14, 2015",-14,"Atlanta Hawks",16
"866",866,"Fri, Jan 16, 2015",-16,"Chicago Bulls",14
"867",867,"Fri, Jan 30, 2015",-6,"Houston Rockets",5
"868",868,"Sun, Feb 1, 2015",-8,"Miami Heat",6
"869",869,"Wed, Feb 4, 2015",4,"Denver Nuggets",19
"870",870,"Fri, Feb 6, 2015",11,"Philadelphia 76ers",30
"871",871,"Wed, Feb 11, 2015",1,"Atlanta Hawks",16
"872",872,"Wed, Feb 25, 2015",21,"New York Knicks",18
"874",874,"Sun, Mar 1, 2015",-5,"Golden State Warriors",4
"875",875,"Wed, Mar 4, 2015",1,"Utah Jazz",28
"876",876,"Wed, Mar 11, 2015",3,"Memphis Grizzlies",13
"877",877,"Fri, Mar 13, 2015",7,"Orlando Magic",27
"878",878,"Mon, Mar 16, 2015",19,"Philadelphia 76ers",30
"879",879,"Sun, Mar 22, 2015",-8,"Detroit Pistons",24
"880",880,"Wed, Mar 25, 2015",-7,"Miami Heat",6
"881",881,"Sun, Mar 29, 2015",-13,"Los Angeles Clippers",2
"882",882,"Wed, Apr 1, 2015",13,"Indiana Pacers",8
"883",883,"Fri, Apr 3, 2015",-9,"Milwaukee Bucks",29
"884",884,"Sun, Apr 12, 2015",39,"Cleveland Cavaliers",23
"885",885,"Tue, Apr 14, 2015",2,"Toronto Raptors",12
"886",886,"Wed, Nov 4, 2015",-2,"Indiana Pacers",16
"887",887,"Tue, Nov 10, 2015",16,"Milwaukee Bucks",17
"888",888,"Sun, Nov 15, 2015",15,"Oklahoma City Thunder",12
"889",889,"Mon, Nov 16, 2015",16,"Houston Rockets",7
"890",890,"Sun, Nov 22, 2015",-10,"Brooklyn Nets",23
"891",891,"Tue, Nov 24, 2015",-24,"Atlanta Hawks",4
"892",892,"Sun, Nov 29, 2015",-19,"Orlando Magic",26
"893",893,"Mon, Nov 30, 2015",10,"Miami Heat",24
"894",894,"Thu, Dec 3, 2015",17,"Sacramento Kings",22
"895",895,"Sat, Dec 5, 2015",-3,"San Antonio Spurs",3
"896",896,"Mon, Dec 7, 2015",18,"New Orleans Pelicans",13
"897",897,"Sat, Dec 12, 2015",5,"Charlotte Hornets",25
"898",898,"Wed, Dec 16, 2015",-3,"Detroit Pistons",20
"899",899,"Wed, Dec 23, 2015",13,"Charlotte Hornets",25
"900",900,"Sat, Dec 26, 2015",6,"Detroit Pistons",20
"901",901,"Mon, Jan 4, 2016",9,"Brooklyn Nets",23
"902",902,"Thu, Jan 7, 2016",-9,"Chicago Bulls",10
"903",903,"Sun, Jan 10, 2016",-3,"Memphis Grizzlies",8
"904",904,"Tue, Jan 12, 2016",-6,"New York Knicks",30
"905",905,"Sat, Jan 16, 2016",2,"Washington Wizards",15
"906",906,"Mon, Jan 18, 2016",-5,"Dallas Mavericks",9
