"","Date","diff","Team","Rk"
"1",2003-10-29,23,"Miami Heat",26
"2",2003-10-31,2,"Memphis Grizzlies",22
"3",2003-11-01,-7,"New Orleans Hornets",14
"4",2003-11-05,-8,"Detroit Pistons",5
"5",2003-11-07,-7,"New Jersey Nets",4
"6",2003-11-09,9,"Sacramento Kings",2
"7",2003-11-11,2,"Indiana Pacers",8
"8",2003-11-12,-7,"Chicago Bulls",25
"9",2003-11-14,9,"Cleveland Cavaliers",29
"10",2003-11-17,-3,"New York Knicks",21
"11",2003-11-19,-8,"New Orleans Hornets",14
"12",2003-11-21,-2,"Philadelphia 76ers",12
"13",2003-11-24,-6,"New York Knicks",21
"14",2003-11-26,2,"Orlando Magic",17
"15",2003-11-28,10,"Milwaukee Bucks",16
"16",2003-11-29,-6,"Milwaukee Bucks",16
"17",2003-12-01,-7,"Memphis Grizzlies",22
"18",2003-12-03,-10,"Toronto Raptors",27
"19",2003-12-05,-4,"Phoenix Suns",13
"20",2003-12-07,5,"Denver Nuggets",28
"21",2003-12-08,22,"Utah Jazz",6
"22",2003-12-10,14,"Seattle SuperSonics",15
"23",2003-12-12,3,"Toronto Raptors",27
"24",2003-12-13,7,"Cleveland Cavaliers",29
"25",2003-12-15,-21,"Minnesota Timberwolves",10
"26",2003-12-17,2,"Dallas Mavericks",1
"27",2003-12-19,-3,"Utah Jazz",6
"28",2003-12-21,3,"Philadelphia 76ers",12
"29",2003-12-23,-5,"Atlanta Hawks",24
"30",2003-12-26,2,"Phoenix Suns",13
"31",2003-12-28,-23,"Los Angeles Lakers",9
"32",2003-12-29,9,"Golden State Warriors",18
"33",2003-12-31,-2,"New Orleans Hornets",14
"34",2004-01-02,-13,"Indiana Pacers",8
"35",2004-01-03,11,"Chicago Bulls",25
"36",2004-01-05,-10,"Detroit Pistons",5
"37",2004-01-07,8,"Orlando Magic",17
"38",2004-01-09,25,"Cleveland Cavaliers",29
"39",2004-01-11,4,"Houston Rockets",11
"40",2004-01-13,-8,"Milwaukee Bucks",16
"41",2004-01-14,-15,"Houston Rockets",11
"42",2004-01-16,-6,"Orlando Magic",17
"43",2004-01-18,-17,"San Antonio Spurs",3
"44",2004-01-20,2,"Miami Heat",26
"45",2004-01-23,11,"Washington Wizards",20
"46",2004-01-25,-19,"New Jersey Nets",4
"47",2004-01-28,-3,"Detroit Pistons",5
"48",2004-01-30,-18,"New York Knicks",21
"49",2004-01-31,-1,"Indiana Pacers",8
"50",2004-02-04,-9,"Los Angeles Clippers",23
"51",2004-02-06,-4,"Atlanta Hawks",24
"52",2004-02-07,30,"Philadelphia 76ers",12
"53",2004-02-09,-8,"Cleveland Cavaliers",29
"54",2004-02-12,-20,"Chicago Bulls",25
"55",2004-02-17,-16,"Sacramento Kings",2
"56",2004-02-19,-2,"Los Angeles Clippers",23
"57",2004-02-21,-21,"Portland Trail Blazers",7
"58",2004-02-22,-21,"Seattle SuperSonics",15
"59",2004-02-25,-2,"Milwaukee Bucks",16
"60",2004-02-27,13,"Toronto Raptors",27
"61",2004-02-29,9,"Toronto Raptors",27
"62",2004-03-01,21,"Orlando Magic",17
"63",2004-03-05,4,"Washington Wizards",20
"64",2004-03-07,3,"Minnesota Timberwolves",10
"65",2004-03-09,3,"New York Knicks",21
"66",2004-03-10,-8,"Los Angeles Lakers",9
"67",2004-03-12,-18,"Indiana Pacers",8
"68",2004-03-13,9,"Washington Wizards",20
"69",2004-03-17,4,"Denver Nuggets",28
"70",2004-03-19,-16,"Dallas Mavericks",1
"71",2004-03-20,-16,"San Antonio Spurs",3
"72",2004-03-26,9,"New Jersey Nets",4
"73",2004-03-28,24,"Philadelphia 76ers",12
"74",2004-03-29,4,"New Jersey Nets",4
"75",2004-03-31,-7,"Portland Trail Blazers",7
"76",2004-04-02,5,"Golden State Warriors",18
"77",2004-04-04,-10,"Washington Wizards",20
"78",2004-04-07,-3,"Miami Heat",26
"79",2004-04-09,-9,"New Orleans Hornets",14
"80",2004-04-10,-11,"Atlanta Hawks",24
"81",2004-04-12,-7,"Miami Heat",26
"82",2004-04-14,5,"Atlanta Hawks",24
"83",2005-11-02,14,"New York Knicks",24
"84",2005-11-04,-1,"Detroit Pistons",6
"85",2005-11-05,-2,"Charlotte Bobcats",28
"86",2005-11-09,1,"Memphis Grizzlies",8
"87",2005-11-11,-21,"San Antonio Spurs",1
"88",2005-11-13,20,"Houston Rockets",5
"89",2005-11-15,-15,"Detroit Pistons",6
"90",2005-11-16,-13,"Seattle SuperSonics",7
"91",2005-11-18,7,"Toronto Raptors",19
"92",2005-11-22,-22,"Cleveland Cavaliers",15
"93",2005-11-23,-3,"Atlanta Hawks",30
"94",2005-11-25,1,"Charlotte Bobcats",28
"95",2005-11-28,-4,"Orlando Magic",23
"96",2005-11-30,7,"Philadelphia 76ers",18
"97",2005-12-02,-4,"Chicago Bulls",12
"98",2005-12-04,3,"New York Knicks",24
"99",2005-12-06,-18,"Houston Rockets",5
"100",2005-12-09,-12,"San Antonio Spurs",1
"101",2005-12-10,-9,"Dallas Mavericks",3
"102",2005-12-14,14,"Indiana Pacers",13
