"","game.id","Date","team","div","conf","status","pts","diff","def.rank"
"1",1,"Tue, Oct 28, 2014","Los Angeles Lakers","Southwest Division","West","h","90","-18","25"
"2",1,"Tue, Oct 28, 2014","Houston Rockets","Atlantic Division","East","v","108","18","5"
"3",2,"Tue, Oct 28, 2014","New Orleans Pelicans","Southeast Division","West","h","101","17","21"
"4",2,"Tue, Oct 28, 2014","Orlando Magic","Atlantic Division","East","v","84","-17","27"
"5",3,"Tue, Oct 28, 2014","San Antonio Spurs","Southwest Division","West","h","101","1","1"
"6",3,"Tue, Oct 28, 2014","Dallas Mavericks","Atlantic Division","East","v","100","-1","9"
"7",4,"Wed, Oct 29, 2014","Boston Celtics","Atlantic Division","East","h","121","16","26"
"8",4,"Wed, Oct 29, 2014","Brooklyn Nets","Atlantic Division","East","v","105","-16","20"
"9",5,"Wed, Oct 29, 2014","Charlotte Hornets","Central Division","East","h","108","2","17"
"10",5,"Wed, Oct 29, 2014","Milwaukee Bucks","Atlantic Division","East","v","106","-2","29"
"11",6,"Wed, Oct 29, 2014","Denver Nuggets","Central Division","West","h","89","10","19"
"12",6,"Wed, Oct 29, 2014","Detroit Pistons","Atlantic Division","East","v","79","-10","24"
"13",7,"Wed, Oct 29, 2014","Indiana Pacers","Atlantic Division","East","h","103","12","8"
"14",7,"Wed, Oct 29, 2014","Philadelphia 76ers","Atlantic Division","East","v","91","-12","30"
"15",8,"Wed, Oct 29, 2014","Memphis Grizzlies","Southwest Division","West","h","105","4","13"
"16",8,"Wed, Oct 29, 2014","Minnesota Timberwolves","Atlantic Division","East","v","101","-4","10"
"17",9,"Wed, Oct 29, 2014","Miami Heat","Southeast Division","East","h","107","12","6"
"18",9,"Wed, Oct 29, 2014","Washington Wizards","Atlantic Division","East","v","95","-12","15"
"19",10,"Wed, Oct 29, 2014","New York Knicks","Central Division","East","h","80","-24","18"
"20",10,"Wed, Oct 29, 2014","Chicago Bulls","Atlantic Division","East","v","104","24","14"
"21",11,"Wed, Oct 29, 2014","Phoenix Suns","Pacific Division","West","h","119","20","11"
"22",11,"Wed, Oct 29, 2014","Los Angeles Lakers","Atlantic Division","East","v","99","-20","25"
"23",12,"Wed, Oct 29, 2014","Portland Trail Blazers","Northwest Division","West","h","106","17","7"
"24",12,"Wed, Oct 29, 2014","Oklahoma City Thunder","Atlantic Division","East","v","89","-17","3"
"25",13,"Wed, Oct 29, 2014","Sacramento Kings","Pacific Division","West","h","77","-18","22"
"26",13,"Wed, Oct 29, 2014","Golden State Warriors","Atlantic Division","East","v","95","18","4"
"27",14,"Wed, Oct 29, 2014","Toronto Raptors","Southeast Division","East","h","109","7","12"
"28",14,"Wed, Oct 29, 2014","Atlanta Hawks","Atlantic Division","East","v","102","-7","16"
"29",15,"Wed, Oct 29, 2014","Utah Jazz","Southwest Division","West","h","93","-11","28"
"30",15,"Wed, Oct 29, 2014","Houston Rockets","Atlantic Division","East","v","104","11","5"
"31",16,"Thu, Oct 30, 2014","Cleveland Cavaliers","Atlantic Division","East","h","90","-5","23"
"32",16,"Thu, Oct 30, 2014","New York Knicks","Atlantic Division","East","v","95","5","18"
"33",17,"Thu, Oct 30, 2014","Dallas Mavericks","Northwest Division","West","h","120","18","9"
"34",17,"Thu, Oct 30, 2014","Utah Jazz","Atlantic Division","East","v","102","-18","28"
